field,year,crop_rotated,crop_type
JB-JB1-17,2017,wheat,cereals
JB-JB2-17,2017,peanuts,legumes
JB-JB3-17,2017,None,None
MH-MH1-17,2017,None,None
BE-BE1-17,2017,sorghum,sorghum
BE-BE2-17,2017,sorghum,sorghum
RN-F2-1-17,2017,None,None
RN-F2-2-17,2017,None,None
RN-F2-3-17,2017,None,None
RN-F2-4-17,2017,None,None
RN-F2-5-17,2017,None,None
RN-F2-6-17,2017,None,None
TG-Cont1-17,2017,corn,corn
TG-Cont2-17,2017,corn,corn
TG-Cont3-17,2017,corn,corn
TG-Cont4-17,2017,corn,corn
RN-1-18,2018,wheat,cereals
RN-2-18,2018,None,None
RN-2-19,2019,None,None
RN-3-18,2018,corn,corn
RN-4-19,2019,None,None
RN-5-19,2019,corn-wheat,corn-cereals
RN-5-19,2019,corn-wheat,corn-cereals
KK-1-18,2018,corn,corn
KK-2-18,2018,None,None
KK-3-18,2018,sorghum,sorghum
KK-4-19,2019,corn,corn
KK-5-19,2019,corn,corn
KK-6-19,2019,corn-peas-wheat,corn-cereals
BH-1-18,2018,sorghum,sorghum
BH-2-18,2018,None,None
BH-3-18,2018,None,None
BH-4-18,2018,sorghum,sorghum
BH-1-19,2019,sorghum,sorghum
BH-2-19,2019,None,None
BH-3-19,2019,None,None
BH-4-19,2019,sorghum,sorghum
JA-1-18,2018,sorghum,sorghum
JA-2-18,2018,None,None
JA-3-18,2018,None,None
JA-1-19,2019,None,None
JA-2-19,2019,None,None
JA-3-19,2019,None,None
KS-1-18,2018,None,None
KS-1-19,2019,None,None
KS-2-18,2018,None,None
KS-3-18,2018,None,None
KS-3-19,2019,None,None
KS-4-19,2019,None,None
JB-1-18,2018,wheat,cereals
JB-2-18,2018,None,None
JB-3-18,2018,peanuts,legumes
TG-1-18,2018,wheat,wheat
TG-2-18,2018,corn,corn
TG-3-18,2018,corn,corn
TG-4-19,2019,corn-wheat,corn-cereals
TG-5-19,2019,None,None
TG-6-19,2019,corn,corn
