sample,field,date,sampling.period,tillage,irrigation,fertilizer,crop_rotation,residue,cover_crop,clay,gwc,protozoa,BactSum,FungSum,FBRatio,GPosSum,GNegSum,ActSum,SapSum,AMF,total.fame,P,K,Mg,Ca,pH,CEC,S,B,Zn,Mn,Fe,Cu,OM,no3.ppm,nh4.ppm,total.N,original.field,year
F2-1,RN-F2-1-17,5/25/17,17-May,no,yes,yes,no,medium-high,yes,24.4,,0.941,23.99410399,23.874,0.994994437,11.73710399,3.589,8.668,20.649,3.225,,28,1143,1788,4489,8.5,21.33,26,6.39,2.4,339,80,4.4,1.16,6.67,1.24,7.91,F2-1,2017
F2-2,RN-F2-2-17,5/25/17,17-May,no,yes,yes,no,medium-high,yes,24.4,,1.168,27.92175636,25.341,0.907571847,13.61575636,4.23,10.076,20.106,5.235,,25,681,1858,5252,8.3,22.94,29,6.03,3.48,338,85,4.79,1.24,9.11,1.46,10.57,F2-2,2017
F2-3,RN-F2-3-17,5/25/17,17-May,no,yes,yes,no,medium-high,yes,24.4,,0.814,21.26651411,21.975,1.033314622,10.65551411,3.147,7.464,16.898,5.077,,39,943,1769,4335,8.3,20.61,21,6.73,2.74,350,84,4.59,1.12,6.3,1.57,7.87,F2-3,2017
F2-4,RN-F2-4-17,5/25/17,17-May,no,yes,yes,no,medium-high,yes,24.4,,2.586,60.25021883,101.448,1.683778117,32.32421883,9.506,18.42,78.019,23.429,,88,1289,1885,4766,8.5,22.62,44,6.56,8.16,355,86,4.03,1.42,8.31,1.73,10.04,F2-4,2017
F2-5,RN-F2-5-17,5/25/17,17-May,no,no,yes,no,none-low,yes,24.4,,1.727,43.86810561,57.266,1.305413106,23.23010561,6.801,13.837,51.524,5.742,,150,1042,1600,4022,7.3,19.25,33,4.91,6.25,313,153,4.37,1.28,12.02,1.65,13.67,F2-5,2017
F2-6,RN-F2-6-17,5/25/17,17-May,no,no,yes,no,none-low,yes,24.4,,1.158,23.54822666,22.813,0.968777833,12.52922666,3.324,7.695,19.329,3.484,,69,1240,1602,3494,7.3,18.19,23,4.28,5.97,311,175,4.53,1.25,7.5,1.28,8.78,F2-6,2017
BE1,BE-BE1-17,5/31/17,17-May,no,yes,yes,yes,medium-high,no,33.1,18.78646441,1.289,36.918,33.124,0.897,17.082,6.052,13.784,26.845,6.279,121.1135931,77,1499,1828,5608,8,25.15,22,4.36,5.03,416,72,6.26,1.51,7.31,1.08,8.39,BE1,2017
BE2,BE-BE1-17,5/31/17,17-May,no,yes,yes,yes,medium-high,no,33.1,18.41517857,0.994,32.884,29.519,0.898,14.915,4.744,13.225,23.693,5.826,103.0474695,26,1204,1853,6092,8.1,26.09,17,4.6,3.96,410,72,6.62,1.41,7.01,1.03,8.04,BE1,2017
BE3,BE-BE2-17,5/31/17,17-May,no,yes,yes,yes,medium-high,no,33.1,16.46273637,0.967,37.509,33.771,0.9,17.946,5.511,14.052,29.458,4.313,130.2502937,24,958,1775,5683,7.9,24.83,17,4.01,4.78,385,70,5.83,1.75,8.13,1.96,10.09,BE2,2017
BE4,BE-BE2-17,5/31/17,17-May,no,yes,yes,yes,medium-high,no,33.1,17.24524076,1.225,43.532,41.447,0.952,21.513,5.787,16.232,35.835,5.612,153.3128714,76,1443,1796,5637,7.8,25.82,19,4.07,4.41,392,72,5.53,1.48,7.88,1,8.88,BE2,2017
