sample,field,date,sampling.period,mbc,doc,tillage,irrigation,fertilizer,crop_rotation,residue,cover_crop,clay,gwc,original.field,year
BE1,BE-BE1-17,5/31/17,17-May,258.3133,453.6763,no,yes,yes,yes,medium-high,no,33.1,18.78646441,BE1,2017
BE2,BE-BE1-17,5/31/17,17-May,193.1923,423.2865,no,yes,yes,yes,medium-high,no,33.1,18.41517857,BE1,2017
BE3,BE-BE2-17,5/31/17,17-May,97.6815,501.4317,no,yes,yes,yes,medium-high,no,33.1,16.46273637,BE2,2017
BE4,BE-BE2-17,5/31/17,17-May,147.6076,642.5272,no,yes,yes,yes,medium-high,no,33.1,17.24524076,BE2,2017
JB1,JB-JB1-17,6/23/17,17-Jun,280.0203,1054.9602,no,yes,yes,yes,medium-high,no,13.12,11.1790393,JB1,2017
JB2,JB-JB1-17,6/23/17,17-Jun,444.9935,1387.0773,no,yes,yes,yes,medium-high,no,13.12,15.29051988,JB1,2017
JB3,JB-JB1-17,6/23/17,17-Jun,316.9222,1506.4658,no,yes,yes,yes,medium-high,no,13.12,12.19974716,JB1,2017
JB4,JB-JB1-17,6/23/17,17-Jun,23.8777,1152.6417,no,yes,yes,yes,medium-high,no,13.12,11.59263272,JB1,2017
JB5,JB-JB2-17,6/23/17,17-Jun,21.707,590.4304,minimal,yes,yes,yes,medium-high,no,11.64,2.46618934,JB2,2017
JB6,JB-JB2-17,6/23/17,17-Jun,21.707,666.4049,minimal,yes,yes,yes,medium-high,no,11.64,0.985915493,JB2,2017
JB7,JB-JB2-17,6/23/17,17-Jun,15.1949,590.4304,minimal,yes,yes,yes,medium-high,no,11.64,1.649175412,JB2,2017
JB8,JB-JB2-17,6/23/17,17-Jun,8.6828,573.0648,minimal,yes,yes,yes,medium-high,no,11.64,4.074979625,JB2,2017
JB9,JB-JB3-17,6/23/17,17-Jun,271.3375,1104.8863,no,yes,no,no,none-low,yes,13.76,12.70096463,JB3,2017
JB10,JB-JB3-17,6/23/17,17-Jun,125.9006,1517.3193,no,yes,no,no,none-low,yes,13.76,14.80968858,JB3,2017
JB11,JB-JB3-17,6/23/17,17-Jun,258.3133,714.1603,no,yes,no,no,none-low,yes,13.76,13.73471308,JB3,2017
JB12,JB-JB3-17,6/23/17,17-Jun,221.4114,618.6495,no,yes,no,no,none-low,yes,13.76,12.7016129,JB3,2017
MH1,MH-MH1-17,6/26/17,17-Jun,266.9711494,342.9706,no,no,yes,no,none-low,no,17.48,15.28165086,MH1,2017
MH2,MH-MH1-17,6/26/17,17-Jun,288.4488739,466.7005,no,no,yes,no,none-low,no,17.48,13.91875747,MH1,2017
MH3,MH-MH1-17,6/26/17,17-Jun,154.1197,753.2329,no,no,yes,no,none-low,no,17.48,13.26116373,MH1,2017
MH4,MH-MH1-17,6/26/17,17-Jun,182.3388,557.8699,no,no,yes,no,none-low,no,17.48,13.37683524,MH1,2017
JB1,JB-JB1-17,8/30/17,17-Sep,314.7515,1439.1741,no,yes,yes,yes,medium-high,no,13.12,10.14176663,JB1,2017
JB2,JB-JB1-17,8/30/17,17-Sep,538.3336,1441.3448,no,yes,yes,yes,medium-high,no,13.12,11.84486373,JB1,2017
JB3,JB-JB1-17,9/5/17,17-Sep,342.9706,835.7195,no,yes,yes,yes,medium-high,no,13.12,7.354555434,JB1,2017
JB4,JB-JB1-17,9/5/17,17-Sep,240.9477,970.3029,no,yes,yes,yes,medium-high,no,13.12,7.204301075,JB1,2017
JB5,JB-JB2-17,8/30/17,17-Sep,2.1707,382.0432,minimal,yes,yes,yes,medium-high,no,11.64,5.109489051,JB2,2017
JB6,JB-JB2-17,8/30/17,17-Sep,67.2917,599.1132,minimal,yes,yes,yes,medium-high,no,11.64,4.776739356,JB2,2017
JB7,JB-JB2-17,9/5/17,17-Sep,275.6789,688.1119,minimal,yes,yes,yes,medium-high,no,11.64,2.597402597,JB2,2017
JB8,JB-JB2-17,9/5/17,17-Sep,128.0713,564.382,minimal,yes,yes,yes,medium-high,no,11.64,2.123552124,JB2,2017
JB9,JB-JB3-17,8/30/17,17-Sep,266.9961,837.8902,no,yes,no,no,none-low,yes,13.76,3.696098563,JB3,2017
JB10,JB-JB3-17,8/30/17,17-Sep,418.9451,896.4991,no,yes,no,no,none-low,yes,13.76,6.044538706,JB3,2017
JB11,JB-JB3-17,9/5/17,17-Sep,160.6318,701.1361,no,yes,no,no,none-low,yes,13.76,2.147239264,JB3,2017
JB12,JB-JB3-17,9/5/17,17-Sep,75.9745,1189.5436,no,yes,no,no,none-low,yes,13.76,3.653444676,JB3,2017
MH1,MH-MH1-17,9/5/17,17-Sep,169.3146,718.5017,no,no,yes,no,none-low,no,17.48,3.333333333,MH1,2017
MH2,MH-MH1-17,9/5/17,17-Sep,260.484,507.9438,no,no,yes,no,none-low,no,17.48,3.876739563,MH1,2017
MH3,MH-MH1-17,9/5/17,17-Sep,177.9974,499.261,no,no,yes,no,none-low,no,17.48,4.562383613,MH1,2017
MH4,MH-MH1-17,9/5/17,17-Sep,195.363,499.261,no,no,yes,no,none-low,no,17.48,3.210576015,MH1,2017
BE1,BE-BE1-17,8/30/17,17-Sep,386.3846,531.8215,no,yes,yes,yes,medium-high,no,33.1,19.58762887,BE1,2017
BE2,BE-BE1-17,8/30/17,17-Sep,186.6802,735.8673,no,yes,yes,yes,medium-high,no,33.1,18.64608076,BE1,2017
BE3,BE-BE2-17,8/30/17,17-Sep,458.0177,627.3323,no,yes,yes,yes,medium-high,no,33.1,16.76234214,BE2,2017
BE4,BE-BE2-17,8/30/17,17-Sep,421.1158,649.0393,no,yes,yes,yes,medium-high,no,33.1,16.33835458,BE2,2017
JB1,JB-JB1-17,10/20/17,17-Oct,219.2407,1035.4239,no,yes,yes,yes,medium-high,no,13.12,5.514705882,JB1,2017
JB2,JB-JB1-17,10/20/17,17-Oct,325.605,1007.2048,no,yes,yes,yes,medium-high,no,13.12,6.092307692,JB1,2017
JB3,JB-JB1-17,10/20/17,17-Oct,247.4598,857.4265,no,yes,yes,yes,medium-high,no,13.12,5.46302465,JB1,2017
JB4,JB-JB1-17,10/20/17,17-Oct,245.2891,1222.1041,no,yes,yes,yes,medium-high,no,13.12,6.308610401,JB1,2017
JB5,JB-JB2-17,10/20/17,17-Oct,0,579.5769,minimal,yes,yes,yes,medium-high,no,11.64,5.863453815,JB2,2017
JB6,JB-JB2-17,10/20/17,17-Oct,52.0968,592.6011,minimal,yes,yes,yes,medium-high,no,11.64,5.316824472,JB2,2017
JB7,JB-JB2-17,10/20/17,17-Oct,6.5121,620.8202,minimal,yes,yes,yes,medium-high,no,11.64,4.87804878,JB2,2017
JB8,JB-JB2-17,10/20/17,17-Oct,154.1197,479.7247,minimal,yes,yes,yes,medium-high,no,11.64,4.437643458,JB2,2017
JB9,JB-JB3-17,10/20/17,17-Oct,188.8509,696.7947,no,yes,no,no,none-low,yes,13.76,5.407463823,JB3,2017
JB10,JB-JB3-17,10/20/17,17-Oct,271.3375,720.6724,no,yes,no,no,none-low,yes,13.76,7.956600362,JB3,2017
JB11,JB-JB3-17,10/20/17,17-Oct,125.9006,853.0851,no,yes,no,no,none-low,yes,13.76,8.252427184,JB3,2017
JB12,JB-JB3-17,10/20/17,17-Oct,286.5324,887.8163,no,yes,no,no,none-low,yes,13.76,7.65391015,JB3,2017
MH1,MH-MH1-17,10/20/17,17-Oct,139.7232184,345.1413,no,no,yes,no,none-low,no,17.48,9.605488851,MH1,2017
MH2,MH-MH1-17,10/20/17,17-Oct,161.3358108,427.6279,no,no,yes,no,none-low,no,17.48,11.58100195,MH1,2017
MH3,MH-MH1-17,10/20/17,17-Oct,288.7031,316.9222,no,no,yes,no,none-low,no,17.48,8.842975207,MH1,2017
MH4,MH-MH1-17,10/20/17,17-Oct,167.1439,401.5795,no,no,yes,no,none-low,no,17.48,8.983890954,MH1,2017
BE1,BE-BE1-17,10/19/17,17-Oct,427.6279,440.6521,no,yes,yes,yes,medium-high,no,33.1,19.54242135,BE1,2017
BE2,BE-BE1-17,10/19/17,17-Oct,275.6789,683.7705,no,yes,yes,yes,medium-high,no,33.1,19.37567277,BE1,2017
BE3,BE-BE2-17,10/19/17,17-Oct,247.4598,557.8699,no,yes,yes,yes,medium-high,no,33.1,19.04024768,BE2,2017
BE4,BE-BE2-17,10/19/17,17-Oct,286.5324,505.7731,no,yes,yes,yes,medium-high,no,33.1,20.25948104,BE2,2017
F2-1,RN-F2-1-17,5/25/17,17-May,151.949,929.0596,no,yes,yes,no,medium-high,yes,24.4,,F2-1,2017
F2-2,RN-F2-2-17,5/25/17,17-May,230.0942,714.1603,no,yes,yes,no,medium-high,yes,24.4,,F2-2,2017
F2-3,RN-F2-3-17,5/25/17,17-May,323.4343,872.6214,no,yes,yes,no,medium-high,yes,24.4,,F2-3,2017
F2-4,RN-F2-4-17,5/25/17,17-May,523.1387,1215.592,no,yes,yes,no,medium-high,yes,24.4,,F2-4,2017
F2-5,RN-F2-5-17,5/25/17,17-May,130.242,965.9615,no,no,yes,no,none-low,yes,24.4,,F2-5,2017
F2-6,RN-F2-6-17,5/25/17,17-May,345.1413,516.6266,no,no,yes,no,none-low,yes,24.4,,F2-6,2017
F2-1,RN-F2-1-17,6/30/17,17-Jun,388.5553,1530.3435,no,yes,yes,no,medium-high,yes,24.4,,F2-1,2017
F2-2,RN-F2-2-17,6/30/17,17-Jun,310.4101,1232.9576,no,yes,yes,no,medium-high,yes,24.4,,F2-2,2017
F2-3,RN-F2-3-17,6/30/17,17-Jun,327.7757,1285.0544,no,yes,yes,no,medium-high,yes,24.4,,F2-3,2017
F2-4,RN-F2-4-17,6/30/17,17-Jun,67.2917,1521.6607,no,yes,yes,no,medium-high,yes,24.4,,F2-4,2017
F2-5,RN-F2-5-17,6/30/17,17-Jun,329.9464,1311.1028,no,no,yes,no,none-low,yes,24.4,,F2-5,2017
F2-6,RN-F2-6-17,6/30/17,17-Jun,403.7502,1319.7856,no,no,yes,no,none-low,yes,24.4,,F2-6,2017
F2-1,RN-F2-1-17,7/27/17,17-Jul,386.3846,1417.4671,no,yes,yes,no,medium-high,yes,24.4,,F2-1,2017
F2-2,RN-F2-2-17,7/27/17,17-Jul,1046.2774,738.038,no,yes,yes,no,medium-high,yes,24.4,,F2-2,2017
F2-3,RN-F2-3-17,7/27/17,17-Jul,781.452,1502.1244,no,yes,yes,no,medium-high,yes,24.4,,F2-3,2017
F2-4,RN-F2-4-17,7/27/17,17-Jul,664.2342,1269.8595,no,yes,yes,no,medium-high,yes,24.4,,F2-4,2017
F2-5,RN-F2-5-17,7/27/17,17-Jul,438.4814,1209.0799,no,no,yes,no,none-low,yes,24.4,,F2-5,2017
F2-6,RN-F2-6-17,7/27/17,17-Jul,603.4546,761.9157,no,no,yes,no,none-low,yes,24.4,,F2-6,2017
F2-1,RN-F2-1-17,8/25/17,17-Aug,1039.7653,1133.1054,no,yes,yes,no,medium-high,yes,24.4,,F2-1,2017
F2-2,RN-F2-2-17,8/25/17,17-Aug,527.4801,905.1819,no,yes,yes,no,medium-high,yes,24.4,,F2-2,2017
F2-3,RN-F2-3-17,8/25/17,17-Aug,636.0151,1031.0825,no,yes,yes,no,medium-high,yes,24.4,,F2-3,2017
F2-4,RN-F2-4-17,8/25/17,17-Aug,141.0955,1439.1741,no,yes,yes,no,medium-high,yes,24.4,,F2-4,2017
F2-5,RN-F2-5-17,8/25/17,17-Aug,418.9451,885.6456,no,no,yes,no,none-low,yes,24.4,,F2-5,2017
F2-6,RN-F2-6-17,8/25/17,17-Aug,427.6279,581.7476,no,no,yes,no,none-low,yes,24.4,,F2-6,2017
