sample,field,date,sampling.period,mbc,tillage,irrigation,fertilizer,crop_rotation,residue,cover_crop,clay,gwc,P,K,Mg,Ca,pH,CEC,S,B,Zn,Mn,Fe,Cu,OM,no3.ppm,nh4.ppm,total.N,original.field,year
BE1,BE-BE1-17,5/31/17,17-May,258.3133,no,yes,yes,yes,medium-high,no,33.1,18.78646441,77,1499,1828,5608,8,25.15,22,4.36,5.03,416,72,6.26,1.51,7.31,1.08,8.39,BE1,2017
BE2,BE-BE1-17,5/31/17,17-May,193.1923,no,yes,yes,yes,medium-high,no,33.1,18.41517857,26,1204,1853,6092,8.1,26.09,17,4.6,3.96,410,72,6.62,1.41,7.01,1.03,8.04,BE1,2017
BE3,BE-BE2-17,5/31/17,17-May,97.6815,no,yes,yes,yes,medium-high,no,33.1,16.46273637,24,958,1775,5683,7.9,24.83,17,4.01,4.78,385,70,5.83,1.75,8.13,1.96,10.09,BE2,2017
BE4,BE-BE2-17,5/31/17,17-May,147.6076,no,yes,yes,yes,medium-high,no,33.1,17.24524076,76,1443,1796,5637,7.8,25.82,19,4.07,4.41,392,72,5.53,1.48,7.88,1,8.88,BE2,2017
JB1,JB-JB1-17,6/23/17,17-Jun,280.0203,no,yes,yes,yes,medium-high,no,13.12,11.1790393,131,937,1459,8278,8.3,28.77,68,4.12,6.49,61,53,2.15,0.56,15.29,1.08,16.37,JB1,2017
JB2,JB-JB1-17,6/23/17,17-Jun,444.9935,no,yes,yes,yes,medium-high,no,13.12,15.29051988,55,965,1767,8110,8.2,30.07,112,5.79,2.93,105,48,2.3,0.76,15.49,1.19,16.68,JB1,2017
JB3,JB-JB1-17,6/23/17,17-Jun,316.9222,no,yes,yes,yes,medium-high,no,13.12,12.19974716,67,934,1480,8563,8.3,29.57,176,4.62,3.88,83,45,1.9,0.75,17.5,1.48,18.98,JB1,2017
JB4,JB-JB1-17,6/23/17,17-Jun,23.8777,no,yes,yes,yes,medium-high,no,13.12,11.59263272,54,747,1505,9262,8.5,31.18,50,3.76,3.11,69,39,1.58,0.73,13.41,1.28,14.69,JB1,2017
JB5,JB-JB2-17,6/23/17,17-Jun,21.707,minimal,yes,yes,yes,medium-high,no,11.64,2.46618934,34,436,292,9416,8.3,26.11,11,1.38,1.04,77,36,1.5,0.31,2.07,1.21,3.28,JB2,2017
JB6,JB-JB2-17,6/23/17,17-Jun,21.707,minimal,yes,yes,yes,medium-high,no,11.64,0.985915493,46,544,318,9060,8.4,25.47,12,1.54,1.8,89,50,1.86,0.45,6.25,2.2,8.45,JB2,2017
JB7,JB-JB2-17,6/23/17,17-Jun,15.1949,minimal,yes,yes,yes,medium-high,no,11.64,1.649175412,30,488,344,9062,8.2,25.51,10,1.59,2.06,97,53,2.14,0.4,2.3,2.28,4.58,JB2,2017
JB8,JB-JB2-17,6/23/17,17-Jun,8.6828,minimal,yes,yes,yes,medium-high,no,11.64,4.074979625,26,555,336,8452,8.4,24.04,13,1.56,1,122,46,2.12,0.52,2.63,2.04,4.67,JB2,2017
JB9,JB-JB3-17,6/23/17,17-Jun,271.3375,no,yes,no,no,none-low,yes,13.76,12.70096463,154,764,1751,5238,8.2,22.17,77,4.21,4.65,111,58,1.87,0.72,18.31,2.17,20.48,JB3,2017
JB10,JB-JB3-17,6/23/17,17-Jun,125.9006,no,yes,no,no,none-low,yes,13.76,14.80968858,178,948,1661,5904,8.3,24.09,65,4.68,4.84,93,58,1.76,0.8,22.88,1.87,24.75,JB3,2017
JB11,JB-JB3-17,6/23/17,17-Jun,258.3133,no,yes,no,no,none-low,yes,13.76,13.73471308,72,538,1477,3595,8.4,16.63,46,3.58,2.66,89,58,1.7,0.54,3.75,1.57,5.32,JB3,2017
JB12,JB-JB3-17,6/23/17,17-Jun,221.4114,no,yes,no,no,none-low,yes,13.76,12.7016129,107,715,1822,2650,8.4,15.93,73,4.19,4.29,120,77,1.99,0.65,9.73,1.77,11.5,JB3,2017
MH1,MH-MH1-17,6/26/17,17-Jun,266.9711494,no,no,yes,no,none-low,yes,17.48,15.28165086,122,937,389,3381,7.5,12.47,7,1.21,1.62,190,102,2.37,0.69,0.31,1.87,2.18,MH1,2017
MH2,MH-MH1-17,6/26/17,17-Jun,288.4488739,no,no,yes,no,none-low,yes,17.48,13.91875747,144,1482,457,3650,7.6,14.52,9,1.72,2.31,191,95,2.37,1.01,1.49,2.22,3.71,MH1,2017
MH3,MH-MH1-17,6/26/17,17-Jun,154.1197,no,no,yes,no,none-low,yes,17.48,13.26116373,126,936,341,3682,7.8,13.02,8,1.41,1.9,169,77,2.41,0.95,0.41,1.6,2.01,MH1,2017
MH4,MH-MH1-17,6/26/17,17-Jun,182.3388,no,no,yes,no,none-low,yes,17.48,13.37683524,128,1056,389,3929,7.7,14.39,9,1.58,2.02,207,86,2.7,0.81,0.6,1.36,1.96,MH1,2017
JB1,JB-JB1-17,8/30/17,17-Sep,314.7515,no,yes,yes,yes,medium-high,no,13.12,10.14176663,134,565,1034,2548,7.7,12.6,46,2.56,7.93,97,76,2.02,0.53,2.92,1.28,4.2,JB1,2017
